BCRNAME;abd_ppy_median;abd_ppy_lower;abd_ppy_upper;bird_id
BOREAL HARDWOOD TRANSITION;0.0134361214221996;-3.50618796264405;0.973920438534933;Cooper's Hawk
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
TAIGA SHIELD AND HUDSON PLAINS;0.715957378888674;-2.25645471125774;3.13944802043577;Bald Eagle
BOREAL SOFTWOOD SHIELD;1.2932859368577;0.358370330442271;2.5714685314723;Bald Eagle
BOREAL HARDWOOD TRANSITION;2.2207337048792;1.105898286852;3.42601131942478;Bald Eagle
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;3.30991663865521;2.94234135395217;4.2980965150035;Bald Eagle
BOREAL HARDWOOD TRANSITION;4.13782713261871;0.450902814697467;6.29854969721926;Red-shouldered Hawk
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;4.38123193958226;0.398654438426279;6.00378196858272;Red-shouldered Hawk
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
TAIGA SHIELD AND HUDSON PLAINS;0.349386167247373;-1.90278295354753;1.81254168277091;Broad-winged Hawk
BOREAL SOFTWOOD SHIELD;2.50086082800221;1.52763751776257;3.54608674477403;Broad-winged Hawk
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;3.26849457330556;1.79544547999471;4.30804166659849;Broad-winged Hawk
BOREAL HARDWOOD TRANSITION;3.33689143708531;2.56633589204164;4.72735735932815;Broad-winged Hawk
BOREAL HARDWOOD TRANSITION;-2.41106739793357;-4.77115937881532;-1.0256539589232;Eastern Screech-Owl
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;2.4301150095759;-0.00418269152828425;5.27305673046667;Eastern Screech-Owl
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
BOREAL SOFTWOOD SHIELD;-1.42808900616179;-3.01646980096894;3.97555256966968;Great Horned Owl
BOREAL HARDWOOD TRANSITION;-0.746543858852357;-3.65650665945253;2.81359713507178;Great Horned Owl
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.391756026495391;-1.51284577170241;0.83065553033825;Great Horned Owl
TAIGA SHIELD AND HUDSON PLAINS;0.0372566324581503;-3.5127310866676;2.32851298941276;Great Horned Owl
BOREAL SOFTWOOD SHIELD;0.853155047168544;-1.31852171080149;1.40031100808172;Barred Owl
BOREAL HARDWOOD TRANSITION;1.43149644889969;-2.25922210213327;2.26706994056747;Barred Owl
TAIGA SHIELD AND HUDSON PLAINS;1.76740449551767;0.0219529866132341;2.95585851805408;Barred Owl
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;1.80092944175177;0.439096230516625;2.82739698623108;Barred Owl
BOREAL HARDWOOD TRANSITION;-0.663851645244783;-2.19154527611514;0.0519879844027443;Belted Kingfisher
TAIGA SHIELD AND HUDSON PLAINS;-0.340691089453275;-4.60176568096818;0.794160431964037;Belted Kingfisher
BOREAL SOFTWOOD SHIELD;-0.264326572463255;-2.44545628715295;1.54866737827789;Belted Kingfisher
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;0.159471620815216;-1.30644801507653;0.548695308662639;Belted Kingfisher
BOREAL HARDWOOD TRANSITION;2.5476510198054;1.69374304909442;4.34545400431032;Red-headed Woodpecker
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;6.26699572616302;4.50144127584967;7.41789183833547;Red-headed Woodpecker
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;4.36255005367334;3.29944538589835;4.83075126132294;Red-bellied Woodpecker
BOREAL SOFTWOOD SHIELD;5.18288693105721;2.99727336199999;7.83947784770323;Red-bellied Woodpecker
BOREAL HARDWOOD TRANSITION;6.58985494191654;4.77101576595748;8.34774634402799;Red-bellied Woodpecker
NA;NA;NA;NA;NA
BOREAL SOFTWOOD SHIELD;-2.27154265440303;-3.3273557901571;-1.05418673589427;Yellow-bellied Sapsucker
BOREAL HARDWOOD TRANSITION;-1.83030750596475;-2.60587748984695;-0.691227546759296;Yellow-bellied Sapsucker
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;0.387612128470253;-0.0879128716780048;0.96739912709192;Yellow-bellied Sapsucker
TAIGA SHIELD AND HUDSON PLAINS;0.828562021251401;-0.568533419146799;2.26733855549025;Yellow-bellied Sapsucker
BOREAL HARDWOOD TRANSITION;-2.28344673933835;-3.01194925107054;-2.12120592892606;Black-backed Woodpecker
TAIGA SHIELD AND HUDSON PLAINS;-0.713973231096022;-1.69744579256536;-0.147536670334511;Black-backed Woodpecker
